,info,habs,m2,floor,price,elevator,exterior,neigh,type
461,"Piso en La Dreta de l'Eixample, Barcelona",2,86.0,4.0,440000,True,False,La Dreta de l'Eixample,Piso
462,"Piso en La Dreta de l'Eixample, Barcelona",3,100.0,4.0,640000,True,True,La Dreta de l'Eixample,Piso
463,"Piso en calle de Viladecans, s/n, La Bordeta, Barcelona",3,65.0,1.0,179000,True,False,La Bordeta,Piso
464,"Dúplex en calle dels Cavallers, Pedralbes, Barcelona",6,496.0,5.0,3300000,True,True,Pedralbes,Dúplex
465,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,123.0,5.0,850000,True,True,L'Antiga Esquerra de l'Eixample,Piso
466,"Piso en calle de les Semoleres, Sant Pere - Santa Caterina i la Ribera, Barcelona",1,40.0,2.0,179000,False,True,Sant Pere - Santa Caterina i la Ribera,Piso
467,"Piso en Hedilla, Horta, Barcelona",5,192.0,1.0,450000,True,True,Horta,Piso
468,"Piso en calle de l'Arquitecte Sert, La Vila Olímpica del Poblenou, Barcelona",3,158.0,3.0,645000,True,True,La Vila Olímpica del Poblenou,Piso
469,"Piso en La Dreta de l'Eixample, Barcelona",3,122.0,1.0,670000,True,True,La Dreta de l'Eixample,Piso
470,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,135.0,2.0,890000,True,True,L'Antiga Esquerra de l'Eixample,Piso
471,"Dúplex en La Dreta de l'Eixample, Barcelona",3,158.0,10.0,1495000,True,True,La Dreta de l'Eixample,Dúplex
472,"Dúplex en Les Tres Torres, Barcelona",7,435.0,4.0,1850000,True,True,Les Tres Torres,Dúplex
473,"Ático en Sant Genís Dels Agudells - Montbau, Barcelona",1,66.0,2.0,220000,True,False,Sant Genís Dels Agudells - Montbau,Ático
474,"Piso en La Maternitat i Sant Ramon, Barcelona",4,81.0,7.0,299000,True,True,La Maternitat i Sant Ramon,Piso
475,"Piso en Horta, Barcelona",4,182.0,1.0,210000,False,False,Horta,Piso
476,"Piso en Sant Gervasi - Galvany, Barcelona",4,208.0,1.0,1095000,True,True,Sant Gervasi - Galvany,Piso
477,"Ático en La Dreta de l'Eixample, Barcelona",3,227.0,9.0,1995000,True,True,La Dreta de l'Eixample,Ático
478,"Piso en calle de Còrsega, 600, La Sagrada Família, Barcelona",1,85.0,,240000,True,False,La Sagrada Família,Piso
479,"Chalet adosado en calle del Marquès de Foronda, La Font d'En Fargues, Barcelona",1,47.0,,185000,False,False,La Font d'En Fargues,Chalet
480,"Piso en El Camp d'En Grassot i Gràcia Nova, Barcelona",3,149.0,1.0,670000,True,True,El Camp d'En Grassot i Gràcia Nova,Piso
481,"Piso en calle de Biscaia, Navas, Barcelona",3,79.0,2.0,199500,True,True,Navas,Piso
482,"Piso en Marina, 247, La Sagrada Família, Barcelona",2,75.0,5.0,385000,True,True,La Sagrada Família,Piso
483,"Piso en calle de Padilla, La Sagrada Família, Barcelona",3,79.0,6.0,450000,True,True,La Sagrada Família,Piso
484,"Piso en calle Industria, El Camp d'En Grassot i Gràcia Nova, Barcelona",3,93.0,6.0,385000,True,True,El Camp d'En Grassot i Gràcia Nova,Piso
485,"Piso en calle Pintor Ribalta, 13, La Maternitat i Sant Ramon, Barcelona",3,104.0,2.0,500000,True,True,La Maternitat i Sant Ramon,Piso
486,"Piso en Valencia, La Sagrada Família, Barcelona",3,80.0,5.0,320000,True,True,La Sagrada Família,Piso
487,"Piso en calle de Lepant, El Fort Pienc, Barcelona",3,83.0,5.0,259000,True,False,El Fort Pienc,Piso
488,"Piso en calle de Galileu, Les Corts, Barcelona",3,76.0,3.0,340000,True,True,Les Corts,Piso
489,"Piso en calle del Comandant Benítez, La Maternitat i Sant Ramon, Barcelona",4,78.0,,255000,True,False,La Maternitat i Sant Ramon,Piso
490,"Piso en Carders, Sant Pere - Santa Caterina i la Ribera, Barcelona",2,64.0,2.0,200000,True,True,Sant Pere - Santa Caterina i la Ribera,Piso
491,"Piso en Les Corts, Barcelona",4,143.0,3.0,1010000,True,True,Les Corts,Piso
492,"Piso en riera Baixa, El Raval, Barcelona",2,45.0,2.0,162000,False,True,El Raval,Piso
493,"Piso en Sant Gervasi - La Bonanova, Barcelona",4,124.0,,670000,True,False,Sant Gervasi - La Bonanova,Piso
494,"Casa o chalet independiente en calle d'Alcolea, Sants, Barcelona",4,480.0,,1450000,False,False,Sants,Casa
495,"Casa o chalet independiente en calle del Tenor Masini, Sants, Barcelona",3,242.0,,598000,False,False,Sants,Casa
